id,codigo,name,codigo_afip,name_afip,aporte_sipa,contrib_sipa,aporte_inssjp,contrib_inssjp,aporte_os,contrib_os,aporte_fsr,contrib_fsr,contrib_aaff,contrib_fne,contrib_lrt,aporte_diferencial,aporte_especial
lsd_concepto_111,111,IMPORTE A CUENTA DE FUTUROS AUMENTOS,110000,Sueldo,1,1,1,1,1,1,1,1,1,1,1,0,0
lsd_concepto_74,74,ADICIONAL 30% ENCARGADO FINCA,110000,Sueldo,1,1,1,1,1,1,1,1,1,1,1,0,0
lsd_concepto_105,105,REMUNERATIVO ABONADO EN FEBR 2024,110000,Sueldo,1,1,1,1,1,1,1,1,1,1,1,0,0
lsd_concepto_67,67,LICENCIA COVID-19,110000,Sueldo,1,1,1,1,1,1,1,1,1,1,1,0,0
lsd_concepto_29,29,LIC. POR MUDANZA,110000,Sueldo,1,1,1,1,1,1,1,1,1,1,1,0,0
lsd_concepto_25,25,LICENCIA POR NACIMIENTO,110000,Sueldo,1,1,1,1,1,1,1,1,1,1,1,0,0
lsd_concepto_1,1,SUELDO BASICO,110000,Sueldo,1,1,1,1,1,1,1,1,1,1,1,0,0
lsd_concepto_64,64,HS. CONTRATADOS,110000,Sueldo,1,1,1,1,1,1,1,1,1,1,1,0,0
lsd_concepto_37,37,LICENCIA ESPECIAL,110000,Sueldo,1,1,1,1,1,1,1,1,1,1,1,0,0
lsd_concepto_50,50,IMGR-CLAUSULA4Âº ACUERDO21/5/15,110000,Sueldo,1,1,1,1,1,1,1,1,1,1,1,0,0
lsd_concepto_92,92,LIC. SIN GOCE DE HABERES,110000,Sueldo,1,1,1,1,1,1,1,1,1,1,1,0,0
lsd_concepto_102,102,Falta injustificada,110000,Sueldo,1,1,1,1,1,1,1,1,1,1,1,0,0
lsd_concepto_32,32,LICENCIA POR MATERNIDAD,110000,Sueldo,1,1,1,1,1,1,1,1,1,1,1,0,0
lsd_concepto_57,57,VACACIONES 2020,110000,Sueldo,1,1,1,1,1,1,1,1,1,1,1,0,0
lsd_concepto_72,72,LIC COVID MENSUALIZADOS,110000,Sueldo,1,1,1,1,1,1,1,1,1,1,1,0,0
lsd_concepto_73,73,LIC X ENFERMEDAD FINCA,110000,Sueldo,1,1,1,1,1,1,1,1,1,1,1,0,0
lsd_concepto_13,13,LICENCIA POR DONACION,110006,DonaciÃ³n de sangre,1,1,1,1,1,1,1,1,1,1,1,0,1
lsd_concepto_26,26,OTRAS LICENCIAS,111000,Sueldo - De uso libre,1,1,1,1,1,1,1,1,1,1,1,0,0
lsd_concepto_103,103,SUSPENSION,111000,Sueldo - De uso libre,1,1,1,1,1,1,1,1,1,1,1,0,0
lsd_concepto_48,48,LICENCIA POR ENFERMEDAD,111000,Sueldo - De uso libre,1,1,1,1,1,1,1,1,1,1,1,0,0
lsd_concepto_10,10,ACCIDENTE DE TRABAJO,111000,Sueldo - De uso libre,1,1,1,1,1,1,1,1,1,1,1,0,0
lsd_concepto_110,110,RETROACTIVO SAC,111000,Sueldo - De uso libre,1,1,1,1,1,1,1,1,1,1,1,0,0
