Código AFIP;Descripción;Código contribuyente;Descripción;Marca repetible;Aportes SIPA;Contribuciones SIPA;Aportes INSSJyP;Contribuciones INSSJyP;Aportes obra social;Contribuciones obra social;Aportes FSR;Contribuciones FSR;Aportes RENATEA;Contribuciones RENATEA;Contribuciones AAFF;Contribuciones FNE;Contribuciones LRT;Aportes diferenciales;Aportes especiales
110000;Sueldo;111;IMPORTE A CUENTA DE FUTUROS AUMENTOS;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;
110000;Sueldo;74;ADICIONAL 30% ENCARGADO FINCA;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;
110000;Sueldo;105;REMUNERATIVO ABONADO EN FEBR 2024;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;
110000;Sueldo;67;LICENCIA COVID-19;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;
110000;Sueldo;29;LIC. POR MUDANZA;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;
110000;Sueldo;25;LICENCIA POR NACIMIENTO;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;
110000;Sueldo;1;SUELDO BASICO;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;
110000;Sueldo;64;HS. CONTRATADOS;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;
110000;Sueldo;37;LICENCIA ESPECIAL;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;
110000;Sueldo;50;IMGR-CLAUSULA4º ACUERDO21/5/15;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;
110000;Sueldo;92;LIC. SIN GOCE DE HABERES;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;
110000;Sueldo;102;Falta injustificada;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;
110000;Sueldo;32;LICENCIA POR MATERNIDAD;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;
110000;Sueldo;57;VACACIONES 2020;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;
110000;Sueldo;72;LIC COVID MENSUALIZADOS;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;
110000;Sueldo;73;LIC X ENFERMEDAD FINCA;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;
110006;Donación de sangre;13;LICENCIA POR DONACION;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;
111000;Sueldo - De uso libre;26;OTRAS LICENCIAS;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;
111000;Sueldo - De uso libre;103;SUSPENSION;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;
111000;Sueldo - De uso libre;48;LICENCIA POR ENFERMEDAD;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;
111000;Sueldo - De uso libre;10;ACCIDENTE DE TRABAJO;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;
111000;Sueldo - De uso libre;110;RETROACTIVO SAC ;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;
111000;Sueldo - De uso libre;75;GRATIFICACION REMUNERATIVA;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;
111000;Sueldo - De uso libre;108;AJ REM DIC 24;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;
111000;Sueldo - De uso libre;109;AJ SAC DIC 24;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;
111000;Sueldo - De uso libre;107;AJ REM NOV 24;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;
111000;Sueldo - De uso libre;104;RETROACTIVO JUL 2024;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;
111000;Sueldo - De uso libre;31;DIF HOMOLOGACION AC JULIO ASIMRA;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;
111000;Sueldo - De uso libre;14;LICENCIA POR DUELO;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;
111000;Sueldo - De uso libre;11;FERIADO;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;
111000;Sueldo - De uso libre;30;DIA DEL METALURGICO;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;
111000;Sueldo - De uso libre;6;HORAS ENFERMO;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;
111000;Sueldo - De uso libre;66;LICENCIA COVID-19;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;
120000;Sueldo anual complementario;23;AGUINALDO;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;
120003;SAC proporcional;8;AGUINALDO PROP.;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;
121000;SAC - De uso libre;90;Aguinaldo;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;
121000;SAC - De uso libre;91;AGUINALDO JORNALIZADOS;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;
151000;Adelanto vacacional - De uso libre;16;VACACIONES NO GOZADAS 2020;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;
151000;Adelanto vacacional - De uso libre;9;VACACIONES 2020;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;
160001;Adicional por antiguedad;2;ANTIGUEDAD;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;
170001;Premio por presentismo;34;PREMIO POR ASISTENCIA-SOEVA;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;
510003;Asignación por maternidad;40;LICENCIA POR MATERNIDAD;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
520012;Vacaciones no gozadas;510;VACACIONES NO GOZADAS 2020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
520014;Indemización por despido;501;INDEMNIZACION POR DESPIDO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
520015;Indemización sustitutiva del preaviso;500;INDEMNIZACION PREAVISO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
520018;SAC sobre vacaciones no gozadas;567;SAC S/ VAC NO GOZADAS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
550000;Importes no remunerativos especiales;566;SAC SOBRE ASIG NO REM;0;0;0;0;0;1;1;1;1;0;0;0;0;1;0;0;
